airline,airlineID,sourceAirport,sourceAirportID,sourceAirportName,sourceCity,sourceCountry,sourceLat,sourceLon,destinationAirport,destinationAirportID,destinationAirportName,destinationCity,destinationCountry,destinationLat,destinationLon,Codeshare,Stops,Equipment,airlineName,active,departureDate,arrivalDate,departureYear,departureMonth,departureDay,arrivalYear,arrivalMonth,arrivalDay,punctuality,serviceQuality,handlingPassengers,airHelpScore,DEPARTURE_DELAY,ARRIVAL_DELAY,AIR_TIME,APPID,overall_rating,seat_comfort_rating,cabin_staff_rating,food_beverages_rating,inflight_entertainment_rating,value_money_rating
FR,4296,AAR,607,Aarhus Airport,Aarhus,Denmark,56.29999924,10.61900043,STN,548,London Stansted Airport,London,United Kingdom,51.88499832,0.234999999,,0,738,Ryanair,Y,9/24/2020,9/24/2020,2020,9,24,2020,9,24,6.2,6.5,9.5,7.39,-1,1,103,TVR41,7,4,4,4,2,5
SK,4319,AAR,607,Aarhus Airport,Aarhus,Denmark,56.29999924,10.61900043,CPH,609,Copenhagen Kastrup Airport,Copenhagen,Denmark,55.61790085,12.65600014,,0,AT7 320 CR2,Scandinavian Airlines System,Y,9/23/2020,9/23/2020,2020,9,23,2020,9,23,9.1,6.3,6.8,7.37,-10,-11,182,TVR42,7,2,5,5,1,0
CZ,1767,AAT,6946,Altay Air Base,Altay,China,47.74988556,88.0858078,URC,3399,�r�mqi Diwopu International Airport,Urumqi,China,43.90710068,87.47419739,,0,73G E90,China Southern Airlines,Y,10/19/2020,10/19/2020,2020,10,19,2020,10,19,7,8,7.1,7.37,-5,-11,149,TVR43,10,5,5,5,1,0
GS,690,AAT,6946,Altay Air Base,Altay,China,47.74988556,88.0858078,URC,3399,�r�mqi Diwopu International Airport,Urumqi,China,43.90710068,87.47419739,,0,E90,Air Foyle,Y,09-05-2020,09-05-2020,2020,9,5,2020,9,5,6.2,6.3,9.7,7.37,-14,4,239,TVR44,8,4,5,3,2,0
AD,13983,AAX,7395,Romeu Zema Airport,Araxa,Brazil,-19.5632,-46.96039963,POJ,8237,Patos de Minas Airport,Patos de Minas,Brazil,-18.67280006,-46.49119949,,0,AT4,Azul,Y,9/15/2020,9/15/2020,2020,9,15,2020,9,15,7.8,6.3,8,7.36,-11,-36,183,TVR45,7,1,4,0,0,0
FO,476,AAY,3979,Al Ghaidah International Airport,Al Ghaidah Intl,Yemen,16.19169998,52.17499924,SAH,3980,Sana'a International Airport,Sanaa,Yemen,15.47630024,44.21969986,,0,CR7,Airlines Of Tasmania,Y,10/22/2020,10/22/2020,2020,10,22,2020,10,22,7.6,9.7,4.9,7.36,-11,-12,176,TVR46,10,5,5,5,4,4
IOS,2951,ABA,2955,Abakan Airport,Abakan,Russia,53.74000168,91.38500214,IKT,2937,Irkutsk Airport,Irkutsk,Russia,52.26800156,104.3889999,,0,AN4,Isles of Scilly Skybus,N,09-07-2020,09-07-2020,2020,9,7,2020,9,7,8.1,6.5,7.4,7.33,-7,-9,169,TVR47,9,4,5,5,2,4
S7,4329,ABA,2955,Abakan Airport,Abakan,Russia,53.74000168,91.38500214,DME,4029,Domodedovo International Airport,Moscow,Russia,55.40879822,37.90629959,,0,320,S7 Airlines,Y,9/24/2020,9/24/2020,2020,9,24,2020,9,24,7.7,6.3,8.1,7.33,-1,6,225,TVR48,9,3,5,5,0,0
SU,130,ABA,2955,Abakan Airport,Abakan,Russia,53.74000168,91.38500214,SVO,2985,Sheremetyevo International Airport,Moscow,Russia,55.972599,37.4146,,0,320,Aeroflot Russian Airlines,Y,9/27/2020,9/27/2020,2020,9,27,2020,9,27,7.8,6.3,7.9,7.31,-3,20,160,TVR49,10,5,5,4,0,0
Y7,13088,ABA,2955,Abakan Airport,Abakan,Russia,53.74000168,91.38500214,NSK,4352,Norilsk-Alykel Airport,Norilsk,Russia,69.31109619,87.3321991,,0,738,NordStar Airlines,Y,10-12-2020,10-12-2020,2020,10,12,2020,10,12,8.1,7.8,6,7.29,-14,-16,224,TVR50,7,3,4,3,4,0
B9,543,ABD,2097,Abadan Airport,Abadan,Iran,30.37109947,48.22829819,MHD,4331,Mashhad International Airport,Mashhad,Iran,36.23519897,59.64099884,,0,M82,Air Bangladesh,Y,9/23/2020,9/23/2020,2020,9,23,2020,9,23,8,6.3,7.4,7.23,95,85,163,TVR51,10,3,5,3,0,0
B9,543,ABD,2097,Abadan Airport,Abadan,Iran,30.37109947,48.22829819,THR,2131,Mehrabad International Airport,Teheran,Iran,35.68920135,51.31340027,,0,M82,Air Bangladesh,Y,9/26/2020,9/26/2020,2020,9,26,2020,9,26,7.9,6,7.8,7.23,4,-7,148,TVR52,9,3,4,4,4,4
EP,2923,ABD,2097,Abadan Airport,Abadan,Iran,30.37109947,48.22829819,SYZ,2157,Shiraz Shahid Dastghaib International Airport,Shiraz,Iran,29.53919983,52.58980179,,0,100,Iran Aseman Airlines,Y,10/29/2020,10/29/2020,2020,10,29,2020,10,29,7.4,6.5,7.8,7.22,-11,-1,166,TVR53,2,1,4,1,0,3
EP,2923,ABD,2097,Abadan Airport,Abadan,Iran,30.37109947,48.22829819,THR,2131,Mehrabad International Airport,Teheran,Iran,35.68920135,51.31340027,,0,100,Iran Aseman Airlines,Y,9/21/2020,9/21/2020,2020,9,21,2020,9,21,8.8,6,6.5,7.09,72,89,237,TVR54,1,3,3,3,1,5
IR,2922,ABD,2097,Abadan Airport,Abadan,Iran,30.37109947,48.22829819,MHD,4331,Mashhad International Airport,Mashhad,Iran,36.23519897,59.64099884,,0,100 M82,Iran Air,Y,10-12-2020,10-12-2020,2020,10,12,2020,10,12,7.9,8,5,6.97,-1,3,214,TVR55,2,2,2,1,1,0
IR,2922,ABD,2097,Abadan Airport,Abadan,Iran,30.37109947,48.22829819,THR,2131,Mehrabad International Airport,Teheran,Iran,35.68920135,51.31340027,,0,M82 100,Iran Air,Y,10-06-2020,10-06-2020,2020,10,6,2020,10,6,7.4,6,7.1,6.81,-4,0,39,TVR56,10,3,5,4,4,0
AA,24,ABE,4355,Lehigh Valley International Airport,Allentown,United States,40.65209961,-75.44080353,CLT,3876,Charlotte Douglas International Airport,Charlotte,United States,35.2140007,-80.94309998,Y,0,CR9 CR7 CRJ,American Airlines,Y,10/14/2020,10/14/2020,2020,10,14,2020,10,14,7.6,6,6.4,6.66,-8,-6,35,TVR57,0,1,3,2,1,0
AA,24,ABE,4355,Lehigh Valley International Airport,Allentown,United States,40.65209961,-75.44080353,PHL,3752,Philadelphia International Airport,Philadelphia,United States,39.87189865,-75.2410965,,0,DH3,American Airlines,Y,10/15/2020,10/15/2020,2020,10,15,2020,10,15,5.8,6.3,7.8,6.61,13,9,61,TVR58,2,3,1,1,1,0
AF,137,ABE,4355,Lehigh Valley International Airport,Allentown,United States,40.65209961,-75.44080353,ATL,3682,Hartsfield Jackson Atlanta International Airport,Atlanta,United States,33.6367,-84.428101,Y,0,CRJ,Air France,Y,9/30/2020,9/30/2020,2020,9,30,2020,9,30,5.7,9.5,4,6.41,-1,5,30,TVR59,7,3,3,0,0,5
DL,2009,ABE,4355,Lehigh Valley International Airport,Allentown,United States,40.65209961,-75.44080353,ATL,3682,Hartsfield Jackson Atlanta International Airport,Atlanta,United States,33.6367,-84.428101,,0,717,Delta Air Lines,Y,10/28/2020,10/28/2020,2020,10,28,2020,10,28,6.9,6.3,6.1,6.4,-8,-14,179,TVR60,9,4,5,5,0,5
DL,2009,ABE,4355,Lehigh Valley International Airport,Allentown,United States,40.65209961,-75.44080353,DTW,3645,Detroit Metropolitan Wayne County Airport,Detroit,United States,42.21239853,-83.35340118,Y,0,CRJ,Delta Air Lines,Y,9/28/2020,9/28/2020,2020,9,28,2020,9,28,8.5,6.8,3.8,6.37,-11,-11,20,TVR61,9,4,5,4,0,5
G4,35,ABE,4355,Lehigh Valley International Airport,Allentown,United States,40.65209961,-75.44080353,MYR,3515,Myrtle Beach International Airport,Myrtle Beach,United States,33.67969894,-78.92829895,,0,M80,Allegiant Air,Y,10/18/2020,10/18/2020,2020,10,18,2020,10,18,6.9,8,4.2,6.36,4,11,147,TVR62,3,3,4,2,0,5
G4,35,ABE,4355,Lehigh Valley International Airport,Allentown,United States,40.65209961,-75.44080353,PGD,7056,Charlotte County Airport,Punta Gorda,United States,26.92020035,-81.9905014,,0,M80,Allegiant Air,Y,10-07-2020,10-07-2020,2020,10,7,2020,10,7,6.5,6.5,5.6,6.2,-3,-11,38,TVR63,8,0,0,0,0,5
G4,35,ABE,4355,Lehigh Valley International Airport,Allentown,United States,40.65209961,-75.44080353,PIE,3617,St Petersburg Clearwater International Airport,St. Petersburg,United States,27.91020012,-82.68740082,,0,M80 320,Allegiant Air,Y,9/14/2020,9/14/2020,2020,9,14,2020,9,14,8.5,6.5,3.6,6.2,-4,-10,112,TVR64,1,0,0,0,0,5
G4,35,ABE,4355,Lehigh Valley International Airport,Allentown,United States,40.65209961,-75.44080353,SFB,4167,Orlando Sanford International Airport,Sanford,United States,28.77759933,-81.23750305,,0,320 M80,Allegiant Air,Y,9/27/2020,9/27/2020,2020,9,27,2020,9,27,8.4,7.8,2.3,6.13,-10,0,35,TVR65,1,0,0,0,0,5
KL,3090,ABE,4355,Lehigh Valley International Airport,Allentown,United States,40.65209961,-75.44080353,ATL,3682,Hartsfield Jackson Atlanta International Airport,Atlanta,United States,33.6367,-84.428101,Y,0,CRJ,KLM Royal Dutch Airlines,Y,10-11-2020,10-11-2020,2020,10,11,2020,10,11,6.4,8.3,3.7,6.13,-2,-4,41,TVR66,1,3,1,0,0,4
UA,5209,ABE,4355,Lehigh Valley International Airport,Allentown,United States,40.65209961,-75.44080353,ORD,3830,Chicago O'Hare International Airport,Chicago,United States,41.9786,-87.9048,Y,0,ER4 ERJ,United Airlines,Y,9/17/2020,9/17/2020,2020,9,17,2020,9,17,8.6,6.3,3.3,6.03,-5,-2,146,TVR67,7,3,4,4,0,4
US,5265,ABE,4355,Lehigh Valley International Airport,Allentown,United States,40.65209961,-75.44080353,CLT,3876,Charlotte Douglas International Airport,Charlotte,United States,35.2140007,-80.94309998,Y,0,CR9 CR7 CRJ,US Airways,Y,10/18/2020,10/18/2020,2020,10,18,2020,10,18,6.9,7.8,3.3,5.99,108,102,133,TVR68,10,5,5,5,5,4
US,5265,ABE,4355,Lehigh Valley International Airport,Allentown,United States,40.65209961,-75.44080353,PHL,3752,Philadelphia International Airport,Philadelphia,United States,39.87189865,-75.2410965,Y,0,CRJ DH8,US Airways,Y,09-12-2020,09-12-2020,2020,9,12,2020,9,12,7.9,7.8,1.3,5.66,-5,2,182,TVR69,8,4,4,4,0,4
AA,24,ABI,3718,Abilene Regional Airport,Abilene,United States,32.41130066,-99.68190002,DFW,3670,Dallas Fort Worth International Airport,Dallas-Fort Worth,United States,32.896801,-97.038002,Y,0,ERD ER4 CRJ,American Airlines,Y,10/29/2020,10/29/2020,2020,10,29,2020,10,29,6.1,6,4.2,5.43,2,13,163,TVR70,9,3,4,4,0,4
US,5265,ABI,3718,Abilene Regional Airport,Abilene,United States,32.41130066,-99.68190002,DFW,3670,Dallas Fort Worth International Airport,Dallas-Fort Worth,United States,32.896801,-97.038002,,0,ERD ER4,US Airways,Y,10-12-2020,10-12-2020,2020,10,12,2020,10,12,8.3,6.3,0.8,5.13,60,60,132,TVR71,10,4,5,4,0,5
2J,470,ABJ,253,Port Bouet Airport,Abidjan,Cote d'Ivoire,5.261390209,-3.926290035,BOY,247,Bobo Dioulasso Airport,Bobo-dioulasso,Burkina Faso,11.16009998,-4.33096981,,0,CRJ,Air Burkina,Y,9/27/2020,9/27/2020,2020,9,27,2020,9,27,7.5,6,1.7,5.04,58,54,111,TVR72,10,5,5,5,5,5
2J,470,ABJ,253,Port Bouet Airport,Abidjan,Cote d'Ivoire,5.261390209,-3.926290035,OUA,246,Ouagadougou Airport,Ouagadougou,Burkina Faso,12.3532,-1.51242,,0,E70 CRJ M87,Air Burkina,Y,10-12-2020,10-12-2020,2020,10,12,2020,10,12,8.9,9.5,8.9,9.08,-9,-6,66,TVR73,5,4,3,4,0,4
AC,330,ABJ,253,Port Bouet Airport,Abidjan,Cote d'Ivoire,5.261390209,-3.926290035,BRU,302,Brussels Airport,Brussels,Belgium,50.90140152,4.48443985,,1,333,Air Canada,Y,9/21/2020,9/21/2020,2020,9,21,2020,9,21,7.6,9.5,8.6,8.57,-3,-5,49,TVR74,2,2,3,2,0,5
AC,330,ABJ,253,Port Bouet Airport,Abidjan,Cote d'Ivoire,5.261390209,-3.926290035,OUA,246,Ouagadougou Airport,Ouagadougou,Burkina Faso,12.3532,-1.51242,Y,0,332,Air Canada,Y,9/24/2020,9/24/2020,2020,9,24,2020,9,24,8.6,9.3,7.5,8.43,-6,-15,42,TVR75,10,5,5,5,3,4
AF,137,ABJ,253,Port Bouet Airport,Abidjan,Cote d'Ivoire,5.261390209,-3.926290035,CDG,1382,Charles de Gaulle International Airport,Paris,France,49.012798,2.55,,0,772,Air France,Y,09-05-2020,09-05-2020,2020,9,5,2020,9,5,8.4,7.8,2.3,6.13,5,3,79,TVR76,8,3,3,1,1,4
AH,794,ABJ,253,Port Bouet Airport,Abidjan,Cote d'Ivoire,5.261390209,-3.926290035,ALG,210,Houari Boumediene Airport,Algier,Algeria,36.69100189,3.215409994,,0,738,Air Algerie,Y,9/18/2020,9/18/2020,2020,9,18,2020,9,18,6.4,8.3,3.7,6.13,-3,9,34,TVR77,5,3,2,1,1,2
